date,geoRegion,vaccine,entries,type_variant,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-21,AG,johnson_johnson,0,vaccine,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-22,AG,johnson_johnson,0,vaccine,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-23,AG,johnson_johnson,0,vaccine,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-24,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-25,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-26,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-27,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-28,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-29,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-30,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-31,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-01,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-02,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-03,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-04,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-05,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-06,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-07,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-08,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-09,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-10,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-11,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-12,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-13,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-14,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-15,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-16,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-17,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-18,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-19,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-20,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-21,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-22,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-23,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-24,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-25,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-26,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-27,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-28,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-29,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-30,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-31,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-01,AG,johnson_johnson,0,vaccine,694072,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
