date,geoRegion,altersklasse_covid19,entries,type_variant,age_group_type,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202053,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202101,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202102,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202103,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202104,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,72193,1,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202105,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,1,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202106,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,3,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202107,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,5,0,0.01,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202108,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,7,0,0.01,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202109,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,7,0,0.01,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202110,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,72193,8,0,0.01,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202111,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,8,0,0.01,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202112,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,72193,9,0,0.01,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202113,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,9,0,0.01,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202114,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,11,0,0.02,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202115,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,11,0,0.02,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202116,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,72193,12,0,0.02,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202117,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,12,0,0.02,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202118,AG,0 - 9,5,altersklasse_covid19,age_group_AKL10,72193,17,0.01,0.02,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202119,AG,0 - 9,3,altersklasse_covid19,age_group_AKL10,72193,20,0,0.03,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202120,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,22,0,0.03,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202121,AG,0 - 9,4,altersklasse_covid19,age_group_AKL10,72193,26,0.01,0.04,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202122,AG,0 - 9,8,altersklasse_covid19,age_group_AKL10,72193,34,0.01,0.05,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202123,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,36,0,0.05,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202124,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,72193,37,0,0.05,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202125,AG,0 - 9,7,altersklasse_covid19,age_group_AKL10,72193,44,0.01,0.06,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202126,AG,0 - 9,6,altersklasse_covid19,age_group_AKL10,72193,50,0.01,0.07,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202127,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,52,0,0.07,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202128,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,54,0,0.07,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202129,AG,0 - 9,3,altersklasse_covid19,age_group_AKL10,72193,57,0,0.08,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202130,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,59,0,0.08,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202131,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,59,0,0.08,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202132,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,61,0,0.08,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202133,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,61,0,0.08,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202134,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,63,0,0.09,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202135,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,72193,64,0,0.09,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202136,AG,0 - 9,2,altersklasse_covid19,age_group_AKL10,72193,66,0,0.09,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202137,AG,0 - 9,1,altersklasse_covid19,age_group_AKL10,72193,67,0,0.09,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
202138,AG,0 - 9,0,altersklasse_covid19,age_group_AKL10,72193,67,0,0.09,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed,0,0
